pid,gt_class_pct,gt_days_above10,gt_last30_ratio,gt_peak_ratio,gt_ratio,gt_topic,gt_trend,gt_zero_share,misc_birth_month,misc_birth_q,misc_born_usa,misc_prep,prog_prev_hit_rate,prog_prev_mean_war5,prog_prev_n,rsci_avg,rsci_best,rsci_chg,rsci_dev,rsci_frac_ranked,rsci_hs_height_in,rsci_hs_pos,rsci_hs_to_pro,rsci_n_ranked,rsci_n_services,rsci_prep_5th,rsci_range,rsci_rank,rsci_std,rsci_top100,rsci_total_norm,rsci_worst,rsci_years_to_draft,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span,ts_coach_prev_hit_rate,ts_coach_prev_mean_war5,ts_coach_prev_n,ts_conf_champ,ts_in_ncaa,ts_ncaa_round,ts_win_pct,tv_adjoe,tv_adrtg,tv_age_exact,tv_ast_pct,tv_ast_tov,tv_birth_month,tv_bpm,tv_bpm_is_peak,tv_conf_tier,tv_d_adjoe,tv_d_adrtg,tv_d_ast_pct,tv_d_bpm,tv_d_efg,tv_d_ftr,tv_d_min_per,tv_d_ortg,tv_d_ts,tv_d_usg,tv_dbpm,tv_dgbpm,tv_dporpag,tv_drb,tv_drtg,tv_dunk_share,tv_dunks_pg,tv_efg,tv_first_bpm,tv_ftr,tv_gap,tv_gbpm,tv_gp,tv_home_intl,tv_home_state_code,tv_ht_growth,tv_jersey,tv_mates_best_bpm,tv_mates_bpm_sum,tv_mates_drafted,tv_mid_pct,tv_mid_share,tv_min_per,tv_mp,tv_obpm,tv_ogbpm,tv_orb,tv_ortg,tv_pfr,tv_porpag,tv_pts,tv_rec_rank,tv_rim_pct,tv_rim_share,tv_role,tv_seasons,tv_slope_bpm,tv_star_mate_minshare,tv_stops,tv_team_adjde,tv_team_adjoe,tv_team_barthag,tv_team_losses,tv_team_ncsos,tv_team_rank,tv_team_sos,tv_team_wins,tv_three_share,tv_to_pct,tv_ts,tv_usg,tv_yr,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words,wp_created_days_before,wp_editors_90d,wp_editors_pre,wp_exists,wp_revs_365d,wp_revs_90d,wp_revs_pre,wp_size_pre
P31bc34ca23,,,,,,,,,8,3,0,0,,,,,,,,,,,,,,,,,,,,,,0.072,-0.441,0.062,0.045,0.306,-4.25,2.502,2.03,-0.154,55.0,1,15.95,16.759,12.85,3,0,6.427,4.509,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,2,7.38,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,8,29.52,0,0.0,0,0.0,0,0.0,2,7.38,0,0.0,0,0.0,,4,4,0,0.0,0,3965,0.0,0.4,0,0.0,271,347,6,20,1,53,29,53,3965
P9cc36d2c64,,,,,,,,,4,2,0,0,0.0,-0.152,1,66.0,43.0,-18.0,22.8,0.875,80,,0,7,8,0,54.0,60,18.41,1,0.3324,97.0,4,-0.631,-0.07,0.073,0.129,0.063,4.0,3.786,-2.278,0.444,34.0,1,34.1,19.214,14.1,3,1,7.05,3.307,2,,,0,1,0,2,0.618,137.307,104.008,21.19,29.7,1.87651111,4,7.69947,1,3,16.545,6.091,-0.8,1.419,10.7,0.3,10.1,13.8,10.22,1.0,0.142343,0.77166,2.87382,11.3,108.416,0.167,0.735,58.5,3.63581,31.5,0,9.28431,34.0,0,6,0,0.0,5.54,15.51,0,0.4224,0.267,85.4,34.1471,7.55712,8.51265,3.9,120.5,2.0,6.04835,18.1765,82.4,0.66,0.345,2,3,2.032,0.761,187.742,104.25008570288276,116.94431505847894,0.7894161630873175,13,0.5546423022197493,63.0,0.6684816030782834,21,0.389,16.0,61.79,27.2,3,0,0.0,0,0.0,0,0.0,0,0.0,1,1,9.091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.091,0,0.0,0,0.0,,4,1,0,0.0,0,1262,0.0,0.25,0,0.0,110,91,5,6,1,14,9,14,1262
Pe1228b6b2c,,,,,,,,,10,4,1,0,0.25,1.283,4,,6.0,-4.0,,0.75,79,3,0,6,8,0,9.0,22,3.54,1,0.773,15.0,2,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0.778,128.782,85.5268,20.71,14.6,0.98700263,10,8.90721,1,3,11.859,-4.472,1.1,3.217,1.5,0.8,30.8,6.7,3.4,3.6,2.77171,2.52417,4.74528,18.5,89.7318,0.151,0.361,52.2,5.69008,22.1,0,10.6801,36.0,0,5,0,3.0,9.62,38.31,2,0.3822,0.408,80.0,32.2222,6.1355,8.15592,7.0,113.6,2.2,4.72144,18.6389,98.8,0.7204,0.168,6,2,3.217,0.804,237.627,90.01908162848602,115.46205822721416,0.9459655099991701,8,0.5545266538671975,4.0,0.6702690990239023,28,0.424,14.3,55.0,27.1,2,0,0.0,0,0.0,0,0.0,0,0.0,1,1,12.658,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,2,2,0,0.0,0,1847,0.0,0.0,0,0.0,79,91,8,9,1,11,8,11,1847
P53502448c1,,,,,,,,,2,1,1,0,1.0,8.388,1,59.0,37.0,25.0,24.6,0.875,82,4,0,7,8,0,58.0,47,18.29,1,0.4942,95.0,4,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0.765,130.592,84.2497,22.37,6.4,0.58927814,2,7.01641,1,3,10.647,0.514,1.0,1.121,0.2,-17.8,10.3,6.0,0.31,1.9,4.08958,2.94673,5.38384,20.2,89.3372,0.351,0.676,50.9,1.83795,40.2,0,9.41031,34.0,0,14,0,25.0,8.91,36.2,1,0.4886,0.76,88.1,35.3824,2.92683,6.46357,7.9,113.9,1.8,5.42281,20.5294,91.6,0.6622,0.142,7,4,1.443,0.844,262.089,92.03808929788752,115.18959946269398,0.9295852000181876,8,0.5612941391092194,9.0,0.7245884788790528,26,0.098,10.3,56.36,27.3,4,0,0.0,2,1.504,0,0.0,24,18.045,1,11,8.271,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.504,14,10.526,0,0.0,0,0.0,,6,8,2,1.504,0,11394,0.0,0.824,0,0.0,1330,803,9,49,1,93,15,211,11394
Pd9bc466fd2,,,,,,,,,10,4,1,0,,,0,,,,,,,,,,,,,,,,,,,0.713,-0.004,0.007,0.0,0.054,1.5,4.724,2.901,0.324,36.0,1,35.7,21.882,21.3,4,1,6.53,3.146,3,,,0,1,0,2,0.75,132.761,91.4569,22.69,38.0,1.94738903,10,9.52054,1,2,16.784,-11.533,8.0,8.106,0.6,8.2,2.5,9.3,2.59,4.6,2.54537,3.38524,4.60891,16.7,93.3699,0.044,0.176,47.0,-3.09441,47.2,0,10.1396,34.0,0,35,0,30.0,3.87,5.72,0,0.3319,0.412,90.2,36.0882,6.97518,6.75436,2.5,112.9,2.8,5.82297,21.6765,,0.6298,0.33,2,4,3.626,0.834,258.227,98.1188099292138,108.81070645916355,0.7666431130635895,9,0.5861456347165294,70.0,0.5718901511378353,25,0.259,14.3,54.83,32.8,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P4d8e3ba87c,,,,,,,,,8,3,0,0,0.25,1.283,4,14.0,8.0,9.0,4.3,1.0,75,1,0,6,6,0,13.0,13,3.94,1,0.8681,21.0,1,,,,,,,,,,36.0,1,32.4,11.556,0.0,1,1,,,0,,,0,1,1,2,0.778,110.158,89.6527,19.84,17.3,2.01853339,8,6.53257,,3,,,,,,,,,,,2.82828,3.13002,4.30931,9.5,94.0606,0.014,0.028,50.3,,22.7,0,5.49253,36.0,0,28,,5.0,9.62,40.69,2,0.3984,0.382,80.4,32.3889,3.70428,2.36251,2.2,110.9,2.2,2.66713,10.4167,98.0,0.4795,0.227,3,1,,0.8,198.743,90.01908162848602,115.46205822721416,0.9459655099991701,8,0.5545266538671975,4.0,0.6702690990239023,28,0.391,16.1,52.57,16.8,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P85135a294f,,,,,,,,,9,3,1,0,0.0,0.008,1,,,,,,,,,,,,,,,,,,,0.294,-0.214,-0.04,-0.155,0.017,0.3,0.907,-0.37,0.092,37.0,1,34.6,16.335,15.0,3,1,7.5,3.025,2,,,0,1,1,3,0.595,129.263,95.736,21.77,13.2,1.59253177,9,8.01441,0,3,-5.515,2.694,1.5,-1.238,-4.3,-24.7,1.9,-7.2,-4.51,0.6,1.81726,1.74371,3.89741,12.0,101.483,0.108,0.459,51.6,6.53027,62.8,0,8.46141,37.0,0,,-1,33.0,9.92,19.58,2,0.3675,0.435,86.3,34.6486,6.19715,6.7177,8.2,122.0,1.5,5.15273,15.7297,,0.6709,0.414,4,3,0.742,0.747,229.305,97.8023407062417,115.18321930457728,0.8677395993811203,15,0.4550594819297262,33.0,0.6987777107870581,22,0.152,11.6,58.67,21.2,4,0,0.0,0,0.0,0,0.0,0,0.0,1,1,3.759,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.759,0,0.0,0,0.0,,0,3,1,3.759,0,2584,0.0,0.25,1,3.759,266,822,2,26,1,20,2,31,2584
P74ab2a2c37,,,,,,,,,8,3,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,0.784,130.907,92.4275,21.81,8.9,0.76788899,8,7.09566,1,2,15.41,2.514,-0.1,2.042,6.3,0.9,18.0,12.4,6.95,2.2,1.69145,1.34494,3.93228,18.6,94.042,0.125,0.405,61.8,-2.12564,25.7,0,9.20953,37.0,0,46,0,32.0,6.39,22.32,1,0.4106,0.329,79.1,31.8378,5.40421,7.86459,6.5,121.3,2.8,4.89916,17.8649,,0.7794,0.296,6,4,3.319,0.898,225.061,97.63391358352547,112.31061398173748,0.8334807697226434,8,0.5410939122744202,49.0,0.5824254049184876,29,0.375,12.1,64.17,24.7,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P69e13b90fc,,,,,,,,,5,2,1,0,0.556,14.331,9,6.0,4.0,0.0,0.5,0.875,80,3,0,7,8,0,2.0,6,0.73,1,0.9668,6.0,4,-0.752,-0.492,0.015,-0.078,0.008,-1.1,-0.267,0.015,-0.072,37.0,0,34.8,17.483,6.2,4,1,2.23,0.153,3,,,0,1,1,3,0.865,123.426,89.6175,23.13,8.8,0.8571278,5,5.8451,0,3,-7.902,2.712,-4.6,-3.497,-0.1,-7.3,-3.0,-5.1,-0.85,-0.5,1.32585,1.15607,4.66071,13.3,94.0388,0.035,0.108,49.1,6.39038,30.5,0,5.27149,37.0,0,37,0,12.0,12.09,59.34,5,0.3793,0.399,86.9,34.7568,4.51925,4.11542,8.0,112.3,3.0,4.48224,16.8919,99.0,0.708,0.222,5,4,-0.202,0.851,235.792,91.47233147289599,120.59474788527262,0.960020612420433,5,0.6154834605609255,3.0,0.7115911555458866,32,0.379,13.2,53.64,23.5,4,0,0.0,0,0.0,0,0.0,2,1.57,1,20,15.699,0,0.0,0,0.0,2,1.57,0,0.0,0,0.0,3,2.355,7,5.495,0,0.0,1,1.57,,23,8,7,5.495,0,15134,0.0,0.7,0,0.0,1274,1701,14,312,1,159,23,648,15134
P43d78a0411,,,,,,,,,4,2,1,0,,,0,,,,,,,,,,,,,,,,,,,0.318,-0.004,-0.046,-0.037,0.035,1.2,1.517,0.736,-0.734,38.0,1,32.1,17.944,1.3,3,1,0.65,2.017,2,,,0,1,1,0,0.737,121.094,96.7265,21.17,25.1,1.41756451,4,5.43347,0,2,1.889,8.38,0.0,-1.985,-4.9,6.8,2.5,-1.9,-3.2,3.0,0.917896,0.859287,3.4754,14.3,100.157,0.021,0.054,49.0,5.30111,32.6,0,6.29532,37.0,0,17,0,1.0,9.18,23.94,0,0.338,0.296,79.4,32.1892,4.51558,5.43603,2.7,107.1,2.2,3.83872,15.9189,41.4,0.6211,0.198,3,3,0.066,0.75,195.04,95.96607159860105,112.20069967545216,0.8578305573642172,10,0.635673444718636,36.0,0.6351711707165496,27,0.505,16.9,53.25,27.9,3,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,1,9.009,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,2,0,0.0,0,1400,0.0,0.0,0,0.0,111,80,14,14,1,22,22,22,1400
P2e873db9ac,,,,,,,,,7,3,1,0,0.429,6.307,7,38.0,21.0,13.0,13.5,0.875,79,3,0,7,8,0,30.0,32,11.77,1,0.6638,51.0,2,-0.629,0.498,-0.09,0.017,0.136,7.3,3.808,-1.042,-1.024,33.0,1,35.0,13.166,7.3,2,1,7.3,3.808,1,,,0,1,1,2,,104.071,90.4441,20.94,16.8,0.930007,7,6.52122,0,3,2.792,-1.041,-2.4,-0.206,-4.9,-16.9,28.6,0.3,-3.11,2.7,5.05671,3.34688,4.53741,17.8,95.3301,0.204,0.515,48.3,6.7272,29.9,0,6.48628,33.0,0,5,1,23.0,6.51,20.45,1,0.3048,0.296,83.9,34.9697,1.46451,3.1394,5.3,97.9,1.8,2.13682,12.7576,94.0,0.5816,0.276,6,2,-0.206,0.795,234.231,94.55658459864715,109.2066219069091,0.8397672839191888,11,0.5461155650476358,44.0,0.6770115911662016,23,0.428,23.6,51.93,21.7,2,0,0.0,1,6.944,0,0.0,1,6.944,1,1,6.944,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.944,0,0.0,0,0.0,,3,1,0,0.0,0,1891,0.0,0.25,0,0.0,144,52,4,4,1,5,5,5,1891
P629d2ef8de,,,,,,,,,10,4,1,0,0.143,1.954,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.576,118.983,85.0616,20.7,3.9,0.39623934,10,3.5564,1,3,5.961,-1.862,2.3,2.084,2.1,10.5,19.8,2.5,2.96,4.2,2.05108,1.58275,4.87415,26.0,89.2014,0.16,1.121,53.8,1.47201,57.6,0,5.31555,33.0,0,7,0,20.0,5.66,22.18,0,0.3383,0.337,81.3,32.5152,1.50531,3.73279,12.6,110.8,3.0,3.69186,16.8788,82.4,0.6412,0.663,8,2,2.084,0.735,263.04,94.65268564749371,109.57069287893535,0.8433133164207626,14,0.4682084681078779,40.0,0.6303060781393185,19,0.0,11.5,55.23,23.7,2,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.215,0,0.0,3,9.646,0,0.0,0,0.0,,10,6,0,0.0,0,6211,0.0,0.286,0,0.0,311,150,6,8,1,21,15,21,6211
P2c06075e55,,,,,,,,,11,4,1,0,0.0,-0.834,1,,,,,,,,,,,,,,,,,,,-0.591,0.568,-0.002,-0.066,-0.073,0.2,-1.632,-0.869,0.108,30.0,0,31.2,18.923,5.2,3,1,2.6,0.738,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,1,2.421,1,0,0.0,2,4.843,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.421,1,2.421,,10,8,0,0.0,0,4650,0.0,0.0,0,0.0,413,45,8,8,1,16,16,16,4650
P3e5e9d6579,,,,,,,,,12,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,1,2.632,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,6,6,1,2.632,0,4296,0.0,0.0,0,0.0,380,790,10,91,1,43,13,164,4296
P96af95e7fd,,,,,,,,,5,2,1,0,0.5,13.068,2,,73.0,0.0,,0.75,82,4,0,6,8,0,20.0,88,7.34,1,0.1416,93.0,4,-0.281,-0.658,-0.052,-0.021,0.123,4.7,0.416,0.487,-0.088,34.0,1,33.5,19.666,24.9,4,1,8.22,2.696,3,,,0,1,1,3,0.735,136.534,92.1026,22.11,12.8,1.03708601,5,6.7488,0,3,2.695,5.115,-2.1,-2.057,-2.9,-6.5,31.1,-2.4,-1.55,2.5,1.46194,1.34306,4.17263,22.6,98.659,0.24,0.5,52.6,2.34002,27.7,0,8.6536,34.0,0,23,0,30.0,10.18,33.48,0,0.4427,0.542,83.1,33.5,5.28686,7.31054,6.5,116.8,2.6,5.80128,18.2647,84.0,0.76,0.155,7,4,1.904,0.906,196.596,97.82790429793093,123.05297076299308,0.9332773671504867,9,0.480389405141642,7.0,0.7221239510417266,25,0.302,11.3,56.8,29.4,4,0,0.0,2,1.15,2,1.15,1,0.575,1,5,2.875,1,0.575,0,0.0,1,0.575,0,0.0,0,0.0,0,0.0,12,6.901,0,0.0,0,0.0,,30,5,4,2.3,0,15567,0.0,0.8,0,0.0,1739,235,3,20,1,67,3,67,15567
Pde91f9542b,,,,,,,,,1,1,1,0,0.5,7.166,2,,,,,,,,,,,,,,,,,,,3.079,-0.296,0.083,0.071,0.085,10.5,8.999,1.471,0.146,35.0,1,34.8,15.517,10.5,2,1,10.5,8.999,1,,,0,1,1,2,0.6,127.39,93.8439,20.47,43.9,2.20790428,1,6.49962,1,3,42.197,-3.438,22.6,8.763,8.9,0.2,26.3,21.0,9.06,14.2,1.64614,1.6077,4.12511,10.9,101.434,0.04,0.118,50.6,-2.26343,37.4,0,5.69543,34.0,0,5,0,4.0,6.05,24.69,1,0.4739,0.533,86.4,34.7941,4.85348,4.08773,3.3,108.5,2.5,4.92937,14.9118,80.2,0.629,0.313,1,2,8.763,0.867,188.912,94.82088035329932,112.82543166100018,0.8807235095113907,14,0.5171003738698648,26.0,0.7349342320628128,20,0.154,18.7,54.36,29.5,2,0,0.0,0,0.0,1,1.143,1,1.143,1,6,6.857,0,0.0,0,0.0,1,1.143,0,0.0,0,0.0,14,16.0,14,16.0,0,0.0,0,0.0,,33,4,1,1.143,0,16450,0.0,0.824,0,0.0,875,139,10,12,1,95,35,95,16450
P2606a3d161,,,,,,,,,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,1,2,0,0.0,0,2007,0.0,0.0,0,0.0,84,60,11,11,1,16,16,16,2007
P52af59d765,,,,,,,,,5,2,1,0,0.429,6.307,7,28.0,8.0,2.0,15.9,0.875,76,1,0,7,8,0,40.0,20,12.8,1,0.7461,48.0,3,-1.032,-0.093,0.005,0.043,0.072,-1.7,1.73,-1.18,-0.377,33.0,1,33.1,14.248,22.4,3,1,11.2,1.741,2,,,0,1,1,2,,114.041,97.9958,21.09,12.9,1.21815557,5,3.33767,0,3,8.074,-2.637,-5.7,1.36,2.3,0.4,-6.0,11.3,3.24,-2.6,0.237092,0.831779,3.43939,7.8,103.225,0.085,0.242,49.7,3.45139,44.6,0,2.46078,33.0,0,5,0,3.0,6.52,23.64,1,0.2838,0.229,79.5,33.1212,3.10057,1.629,2.6,110.4,2.9,3.15687,13.1212,93.6,0.6923,0.362,4,3,-0.057,0.839,154.561,94.55658459864715,109.2066219069091,0.8397672839191888,11,0.5461155650476358,44.0,0.6770115911662016,23,0.409,15.3,55.31,19.5,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P355f728583,,,,,,,,,2,1,1,0,1.0,14.863,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.636,136.539,106.324,22.31,31.3,2.11262838,2,7.08925,1,2,15.264,8.709,6.4,2.414,7.9,6.9,0.9,13.8,7.65,0.6,-1.23268,1.0486,2.81449,8.6,107.807,0.0,0.0,57.7,1.37808,46.3,0,9.8269,32.0,0,32,0,22.0,3.24,-17.41,0,0.4663,0.38,92.4,37.4062,8.32193,8.7783,1.6,123.2,2.1,6.45039,22.5,,0.6691,0.296,2,4,1.839,0.839,192.184,107.37788894468247,108.77586936537102,0.5371203777448548,12,0.5075281272767451,151.0,0.5272800364904435,20,0.324,12.8,62.93,28.7,4,3,4.498,0,0.0,0,0.0,1,1.499,1,1,1.499,1,1.499,0,0.0,1,1.499,0,0.0,0,0.0,3,4.498,9,13.493,0,0.0,0,0.0,,20,9,6,8.996,0,7859,0.0,0.75,0,0.0,667,405,3,10,1,21,5,24,7859
P50ca99530f,,,,,,,,,2,1,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,0.763,125.774,86.5598,22.36,5.1,1.07152549,2,10.3169,1,3,28.238,0.596,5.1,12.202,11.5,19.2,65.3,31.3,9.64,-3.0,4.74155,3.23634,4.11058,18.9,91.5978,0.148,0.474,61.5,0.661312,26.9,0,7.77055,38.0,0,25,0,55.0,7.9,30.1,5,0.3429,0.337,71.0,28.5,5.57533,4.53421,15.2,131.3,3.4,3.8948,7.6053,46.2,0.7891,0.615,8,3,4.828,0.894,234.113,93.3651610635984,119.307927716382,0.9437300426137277,9,0.6056562406824911,5.0,0.7120218129449819,29,0.048,11.3,61.59,13.7,4,2,1.246,1,0.623,2,1.246,2,1.246,1,4,2.492,1,0.623,1,0.623,0,0.0,0,0.0,1,0.623,2,1.246,7,4.361,0,0.0,0,0.0,,69,5,2,1.246,0,22607,0.0,0.545,1,0.623,1605,82,12,12,1,24,24,24,22607
Pd11fd10026,,,,,,,,,12,4,1,0,,,0,,,,,,,,,,,,,,,,,,,0.352,-0.2,0.004,0.014,-0.003,-0.4,4.621,-0.461,-0.192,37.0,1,35.2,24.239,6.2,4,1,2.31,2.384,3,,,0,1,0,0,0.703,131.839,104.383,22.54,26.4,1.31932084,12,3.80975,1,2,9.309,-2.891,4.3,0.533,1.0,5.8,-0.6,0.6,1.66,5.9,-2.09991,-1.23272,2.91573,9.9,104.713,0.118,0.189,54.9,1.09514,19.2,0,6.29062,37.0,0,,0,3.0,5.82,19.48,0,0.4725,0.442,88.0,35.1892,5.90966,7.52334,2.3,113.6,2.0,5.56531,23.7027,,0.6029,0.097,2,4,1.253,0.828,204.986,102.4484173804625,114.30465773983845,0.7789126045628393,11,0.5845548401877072,67.0,0.501395554350089,26,0.461,16.3,57.5,33.1,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
P36b818b767,,,,,,,,,3,1,1,0,0.0,-0.834,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,125.124,93.5482,21.23,20.6,1.36620961,3,8.79734,1,3,-0.175,-3.674,0.5,1.567,1.4,-6.9,5.4,6.3,1.61,-3.5,2.8629,2.04696,3.79034,13.6,97.1049,0.272,1.303,51.0,1.53924,37.8,0,8.49528,33.0,0,10,0,1.0,5.36,15.73,0,0.3125,0.4,78.7,32.1818,5.93444,6.44832,12.2,114.0,2.4,4.24336,14.4242,79.2,0.6879,0.481,4,3,3.629,0.811,192.479,95.11499240101742,110.00405496186572,0.8419024837567939,12,0.5127673405010797,43.0,0.6399392321456567,21,0.119,16.7,56.05,24.8,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Pe6bde91a1f,,,,,,,,,8,3,1,0,,,0,,,,,,,,,,,,,,,,,,,0.302,0.204,0.014,-0.009,-0.081,1.1,-0.009,-0.854,0.429,35.0,0,32.4,19.889,19.0,4,1,6.05,1.914,3,,,0,1,1,1,0.714,119.464,95.6936,22.86,6.0,0.5538236,8,5.20869,0,2,-3.743,-0.433,0.5,0.236,2.7,-9.7,1.5,-3.5,-0.7,-0.1,3.48861,2.02834,3.65941,24.3,98.1106,0.257,1.353,55.4,-0.14162,57.1,0,5.39003,34.0,0,22,0,34.0,5.17,12.38,0,0.3726,0.513,81.0,32.5,1.72007,3.36169,9.1,114.5,3.8,3.73068,17.8824,,0.7709,0.433,8,4,1.512,0.785,275.835,105.10288973380003,117.86402936694574,0.7888165805487564,10,0.7425812648949158,65.0,0.5462789479049407,24,0.053,13.3,57.89,24.1,4,1,3.021,0,0.0,0,0.0,3,9.063,1,5,15.106,3,9.063,0,0.0,0,0.0,0,0.0,1,3.021,0,0.0,4,12.085,0,0.0,0,0.0,,16,4,0,0.0,0,5649,0.0,0.375,0,0.0,331,448,0,5,1,9,0,26,5649
Pc4acbf93e3,,,,,,,,,3,1,1,0,0.5,8.613,6,7.0,1.0,2.0,4.4,1.0,74,1,0,6,6,0,11.0,6,3.98,1,0.9432,12.0,1,,,,,,,,,,26.0,1,20.4,13.941,0.0,1,1,,,0,,,0,1,1,4,0.921,102.374,89.9906,20.24,17.8,1.05656117,3,1.71811,,3,,,,,,,,,,,1.17595,1.52608,2.69414,9.7,95.7003,0.091,0.077,46.1,,19.2,0,1.50132,26.0,0,20,,32.0,10.54,58.11,5,0.3182,0.342,34.8,20.3846,0.542157,-0.024762,2.4,94.4,3.3,1.13421,7.9231,99.6,0.5152,0.171,3,1,,0.714,93.2253,90.96159287913534,120.86764379188166,0.9633490135898988,3,0.5443763481572733,2.0,0.6876809595522836,35,0.487,24.4,48.91,23.3,1,1,1.724,0,0.0,2,3.448,1,1.724,1,2,3.448,2,3.448,0,0.0,0,0.0,0,0.0,0,0.0,2,3.448,2,3.448,0,0.0,0,0.0,,12,6,0,0.0,0,7208,0.0,0.4,0,0.0,580,419,9,52,1,83,10,115,7208
